"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"7","GO601_1473","GO601_148858","Far Rockaway","8858","0","140"
"7","GO601_1473","GO601_148859","Atlantic Terminal","8859","1","141"
"7","GO601_1473","GO601_148860","Far Rockaway","8860","0","140"
"7","GO601_1473","GO601_148861","Atlantic Terminal","8861","1","141"
"7","GO601_1473","GO601_148862","Far Rockaway","8862","0","140"
"7","GO601_1473","GO601_148863","Atlantic Terminal","8863","1","141"
"7","GO601_1473","GO601_148864","Far Rockaway","8864","0","140"
"7","GO601_1473","GO601_148865","Atlantic Terminal","8865","1","141"
"7","GO601_1473","GO601_148866","Far Rockaway","8866","0","140"
"7","GO601_1473","GO601_148867","Atlantic Terminal","8867","1","141"
"7","GO601_1473","GO601_148868","Far Rockaway","8868","0","140"
"7","GO601_1473","GO601_148869","Atlantic Terminal","8869","1","141"
"7","GO601_1473","GO601_148870","Far Rockaway","8870","0","140"
"7","GO601_1473","GO601_148871","Atlantic Terminal","8871","1","141"
"7","GO601_1473","GO601_148872","Far Rockaway","8872","0","140"
"7","GO601_1473","GO601_148873","Atlantic Terminal","8873","1","141"
"9","GO601_149999313","SHEAGO601_14313","Penn Station","313","1","15"
"9","GO601_149999315","SHEAGO601_14315","Penn Station","315","1","15"
"9","GO601_149999351","SHEAGO601_14351","Penn Station","351","1","15"
"9","GO601_149999353","SHEAGO601_14353","Penn Station","353","1","15"
"9","GO601_149999355","SHEAGO601_14355","Penn Station","355","1","15"
"9","GO601_149999356","SHEAGO601_14356","Great Neck","356","0","14"
"9","GO601_149999358","SHEAGO601_14358","Great Neck","358","0","14"
"9","GO601_149999360","SHEAGO601_14360","Great Neck","360","0","14"
"9","GO601_149999362","SHEAGO601_14362","Great Neck","362","0","14"
"9","GO601_149999364","SHEAGO601_14364","Great Neck","364","0","17"
"9","GO601_149999366","SHEAGO601_14366","Great Neck","366","0","14"
"9","GO601_149999368","SHEAGO601_14368","Great Neck","368","0","14"
"9","GO601_149999370","SHEAGO601_14370","Great Neck","370","0","14"
"9","GO601_149999398","SHEAGO601_14398","Great Neck","398","0","14"
"9","GO601_149999400","SHEAGO601_14400","Port Washington","400","0","18"
"9","GO601_149999401","SHEAGO601_14401","Penn Station","401","1","19"
"9","GO601_149999402","SHEAGO601_14402","Port Washington","402","0","18"
"9","GO601_149999414","SHEAGO601_14414","Port Washington","414","0","18"
"9","GO601_149999416","SHEAGO601_14416","Port Washington","416","0","18"
"9","GO601_149999418","SHEAGO601_14418","Port Washington","418","0","18"
"9","GO601_149999420","SHEAGO601_14420","Port Washington","420","0","18"
"9","GO601_149999422","SHEAGO601_14422","Port Washington","422","0","18"
"9","GO601_149999424","SHEAGO601_14424","Port Washington","424","0","18"
"9","GO601_149999426","SHEAGO601_14426","Port Washington","426","0","18"
"9","GO601_149999428","SHEAGO601_14428","Port Washington","428","0","18"
"9","GO601_149999430","SHEAGO601_14430","Port Washington","430","0","18"
"9","GO601_149999432","SHEAGO601_14432","Port Washington","432","0","18"
"9","GO601_149999433","SHEAGO601_14433","Penn Station","433","1","19"
"9","GO601_149999434","SHEAGO601_14434","Port Washington","434","0","18"
"9","GO601_149999435","SHEAGO601_14435","Penn Station","435","1","19"
"9","GO601_149999436","SHEAGO601_14436","Port Washington","436","0","18"
"9","GO601_149999437","SHEAGO601_14437","Penn Station","437","1","19"
"9","GO601_149999438","SHEAGO601_14438","Port Washington","438","0","18"
"9","GO601_149999439","SHEAGO601_14439","Penn Station","439","1","19"
"9","GO601_149999440","SHEAGO601_14440","Port Washington","440","0","18"
"9","GO601_149999441","SHEAGO601_14441","Penn Station","441","1","19"
"9","GO601_149999442","SHEAGO601_14442","Port Washington","442","0","18"
"9","GO601_149999443","SHEAGO601_14443","Penn Station","443","1","19"
"9","GO601_149999445","SHEAGO601_14445","Penn Station","445","1","19"
"9","GO601_149999447","SHEAGO601_14447","Penn Station","447","1","19"
"9","GO601_149999449","SHEAGO601_14449","Penn Station","449","1","19"
"9","GO601_149999451","SHEAGO601_14451","Penn Station","451","1","19"
"9","GO601_149999453","SHEAGO601_14453","Penn Station","453","1","19"
"9","GO601_149999455","SHEAGO601_14455","Penn Station","455","1","19"
"9","GO601_149999457","SHEAGO601_14457","Penn Station","457","1","19"
"9","GO601_149999459","SHEAGO601_14459","Penn Station","459","1","19"
"9","GO601_149999461","SHEAGO601_14461","Penn Station","461","1","19"
"9","GO601_149999463","SHEAGO601_14463","Penn Station","463","1","19"
"9","GO601_149999464","SHEAGO601_14464","Port Washington","464","0","18"
"9","GO601_149999465","SHEAGO601_14465","Penn Station","465","1","19"
"9","GO601_149999466","SHEAGO601_14466","Port Washington","466","0","18"
"9","GO601_149999467","SHEAGO601_14467","Penn Station","467","1","19"
"9","GO601_149999468","SHEAGO601_14468","Port Washington","468","0","18"
"9","GO601_149999469","SHEAGO601_14469","Penn Station","469","1","19"
"9","GO601_149999470","SHEAGO601_14470","Port Washington","470","0","18"
"9","GO601_149999471","SHEAGO601_14471","Penn Station","471","1","19"
"9","GO601_149999472","SHEAGO601_14472","Port Washington","472","0","18"
"9","GO601_149999473","SHEAGO601_14473","Penn Station","473","1","19"
"9","GO601_149999474","SHEAGO601_14474","Port Washington","474","0","18"
"9","GO601_149999475","SHEAGO601_14475","Penn Station","475","1","19"
"9","GO601_149999476","SHEAGO601_14476","Port Washington","476","0","18"
"9","GO601_149999477","SHEAGO601_14477","Penn Station","477","1","19"
"9","GO601_149999478","SHEAGO601_14478","Port Washington","478","0","18"
"9","GO601_149999479","SHEAGO601_14479","Penn Station","479","1","19"
"9","GO601_149999480","SHEAGO601_14480","Port Washington","480","0","18"
"9","GO601_149999481","SHEAGO601_14481","Penn Station","481","1","19"
"9","GO601_149999483","SHEAGO601_14483","Penn Station","483","1","19"
"9","GO601_149999485","SHEAGO601_14485","Penn Station","485","1","19"
"9","GO601_1499993859","SHEAGO601_143859","Penn Station","3859","1","15"
"9","GO601_1499996400","SHEAGO601_146400","Port Washington","6400","0","18"
"9","GO601_1499996401","SHEAGO601_146401","Penn Station","6401","1","19"
"9","GO601_1499996402","SHEAGO601_146402","Port Washington","6402","0","18"
"9","GO601_1499996420","SHEAGO601_146420","Port Washington","6420","0","18"
"9","GO601_1499996422","SHEAGO601_146422","Port Washington","6422","0","18"
"9","GO601_1499996423","SHEAGO601_146423","Penn Station","6423","1","19"
"9","GO601_1499996424","SHEAGO601_146424","Port Washington","6424","0","18"
"9","GO601_1499996425","SHEAGO601_146425","Penn Station","6425","1","19"
"9","GO601_1499996426","SHEAGO601_146426","Port Washington","6426","0","18"
"9","GO601_1499996427","SHEAGO601_146427","Penn Station","6427","1","19"
"9","GO601_1499996428","SHEAGO601_146428","Port Washington","6428","0","18"
"9","GO601_1499996429","SHEAGO601_146429","Penn Station","6429","1","19"
"9","GO601_1499996431","SHEAGO601_146431","Penn Station","6431","1","19"
"9","GO601_1499996450","SHEAGO601_146450","Port Washington","6450","0","18"
"9","GO601_1499996451","SHEAGO601_146451","Penn Station","6451","1","19"
"9","GO601_1499996452","SHEAGO601_146452","Port Washington","6452","0","18"
"9","GO601_1499996453","SHEAGO601_146453","Penn Station","6453","1","19"
"9","GO601_1499996454","SHEAGO601_146454","Port Washington","6454","0","18"
"9","GO601_1499996455","SHEAGO601_146455","Penn Station","6455","1","19"
"9","GO601_1499996456","SHEAGO601_146456","Port Washington","6456","0","18"
"9","GO601_1499996457","SHEAGO601_146457","Penn Station","6457","1","19"
"9","GO601_1499996458","SHEAGO601_146458","Port Washington","6458","0","18"
"9","GO601_1499996459","SHEAGO601_146459","Penn Station","6459","1","19"
"9","GO601_1499996460","SHEAGO601_146460","Port Washington","6460","0","18"
"9","GO601_1499996461","SHEAGO601_146461","Penn Station","6461","1","19"
"9","GO601_1499996462","SHEAGO601_146462","Port Washington","6462","0","18"
"9","GO601_1499996463","SHEAGO601_146463","Penn Station","6463","1","19"
"9","GO601_1499996464","SHEAGO601_146464","Port Washington","6464","0","18"
"9","GO601_1499996465","SHEAGO601_146465","Penn Station","6465","1","19"
"9","GO601_1499996466","SHEAGO601_146466","Port Washington","6466","0","18"
"9","GO601_1499996467","SHEAGO601_146467","Penn Station","6467","1","19"
"9","GO601_1499996468","SHEAGO601_146468","Port Washington","6468","0","18"
"9","GO601_1499996469","SHEAGO601_146469","Penn Station","6469","1","19"
"9","GO601_1499996470","SHEAGO601_146470","Port Washington","6470","0","18"
"9","GO601_1499996471","SHEAGO601_146471","Penn Station","6471","1","19"
"9","GO601_1499996472","SHEAGO601_146472","Port Washington","6472","0","18"
"9","GO601_1499996473","SHEAGO601_146473","Penn Station","6473","1","19"
"9","GO601_1499996474","SHEAGO601_146474","Port Washington","6474","0","18"
"9","GO601_1499996475","SHEAGO601_146475","Penn Station","6475","1","19"
"9","GO601_1499996476","SHEAGO601_146476","Port Washington","6476","0","18"
"9","GO601_1499996477","SHEAGO601_146477","Penn Station","6477","1","19"
"9","GO601_1499996478","SHEAGO601_146478","Port Washington","6478","0","18"
"9","GO601_1499996479","SHEAGO601_146479","Penn Station","6479","1","19"
"9","GO601_1499996480","SHEAGO601_146480","Port Washington","6480","0","18"
"9","GO601_1499996481","SHEAGO601_146481","Penn Station","6481","1","19"
"9","GO601_1499996482","SHEAGO601_146482","Port Washington","6482","0","18"
"9","GO601_1499996483","SHEAGO601_146483","Penn Station","6483","1","19"
"9","GO601_1499996484","SHEAGO601_146484","Port Washington","6484","0","18"
"9","GO601_1499996485","SHEAGO601_146485","Penn Station","6485","1","19"
"9","GO601_1499996486","SHEAGO601_146486","Port Washington","6486","0","18"
"9","GO601_1499996487","SHEAGO601_146487","Penn Station","6487","1","19"
"9","GO601_1499996488","SHEAGO601_146488","Port Washington","6488","0","18"
"9","GO601_1499996489","SHEAGO601_146489","Penn Station","6489","1","19"
